,FEvals,Fitness,Iteration,Keep Percent,Population Size,State,Time,max_iters,use_fast_mimic
97,9935,5.0,32,0.5,300,"[10.0, 6.0, 14.0, 12.0, 15.0, 0.0, 10.0, 13.0, 0.0, 4.0, 7.0, 1.0, 11.0, 9.0, 0.0, 3.0]",8.654130517999874,2048,False
98,19567,5.0,64,0.5,300,"[10.0, 6.0, 14.0, 12.0, 15.0, 0.0, 10.0, 13.0, 0.0, 4.0, 7.0, 1.0, 11.0, 9.0, 0.0, 3.0]",16.74589510900114,2048,False
99,38831,5.0,128,0.5,300,"[10.0, 6.0, 14.0, 12.0, 15.0, 0.0, 10.0, 13.0, 0.0, 4.0, 7.0, 1.0, 11.0, 9.0, 0.0, 3.0]",32.777928076000535,2048,False
100,62911,5.0,256,0.5,300,"[10.0, 6.0, 14.0, 12.0, 15.0, 0.0, 10.0, 13.0, 0.0, 4.0, 7.0, 1.0, 11.0, 9.0, 0.0, 3.0]",53.347037813997304,2048,False
101,62911,5.0,512,0.5,300,"[10.0, 6.0, 14.0, 12.0, 15.0, 0.0, 10.0, 13.0, 0.0, 4.0, 7.0, 1.0, 11.0, 9.0, 0.0, 3.0]",53.347037813997304,2048,False
102,62911,5.0,1024,0.5,300,"[10.0, 6.0, 14.0, 12.0, 15.0, 0.0, 10.0, 13.0, 0.0, 4.0, 7.0, 1.0, 11.0, 9.0, 0.0, 3.0]",53.347037813997304,2048,False
103,62911,5.0,2048,0.5,300,"[10.0, 6.0, 14.0, 12.0, 15.0, 0.0, 10.0, 13.0, 0.0, 4.0, 7.0, 1.0, 11.0, 9.0, 0.0, 3.0]",53.347037813997304,2048,False
104,300,16.0,0,0.75,300,"[15, 4, 9, 6, 3, 3, 7, 7, 12, 9, 14, 7, 8, 9, 14, 10]",0.12402750399633078,2048,False
105,602,8.0,1,0.75,300,"[6.0, 7.0, 3.0, 14.0, 5.0, 9.0, 15.0, 0.0, 6.0, 0.0, 13.0, 1.0, 12.0, 12.0, 8.0, 10.0]",0.4041440889996011,2048,False
106,903,8.0,2,0.75,300,"[6.0, 7.0, 3.0, 14.0, 5.0, 9.0, 15.0, 0.0, 6.0, 0.0, 13.0, 1.0, 12.0, 12.0, 8.0, 10.0]",0.7434011849982198,2048,False
